group,genome_bp,cds
MHQ SAG (N=226),2600384.86,2303.43
MHQ SAG (N=226),2867820.53,2839.89
MHQ SAG (N=226),1801854.5,1660.36
MHQ SAG (N=226),3230878.09,2917.85
MHQ SAG (N=226),4993182.48,4529.92
MHQ SAG (N=226),1592194.55,1385.63
MHQ SAG (N=226),2296264.82,2246.76
MHQ SAG (N=226),2834354.54,2552.14
MHQ SAG (N=226),2444002.28,2388.29
MHQ SAG (N=226),3207085.73,3284.07
MHQ SAG (N=226),1407852.3,1358.36
MHQ SAG (N=226),3848984.09,3820.04
MHQ SAG (N=226),1565204.26,1495.9
MHQ SAG (N=226),1658401.34,1578.16
MHQ SAG (N=226),3597625.57,3398.75
MHQ SAG (N=226),2805857.89,2610.31
MHQ SAG (N=226),3641681.73,3542.39
MHQ SAG (N=226),2257797.32,2063.32
MHQ SAG (N=226),2602706.56,2720.49
MHQ SAG (N=226),1565916.46,1530.11
MHQ SAG (N=226),2386639.39,2012.71
MHQ SAG (N=226),1440813.74,1308.37
MHQ SAG (N=226),1713320.93,1650.3
MHQ SAG (N=226),2357625.7,2130.12
MHQ SAG (N=226),2856007.59,2686.79
MHQ SAG (N=226),3211867.73,2976.67
MHQ SAG (N=226),1590473.02,1553.02
MHQ SAG (N=226),1934520.89,1848.44
MHQ SAG (N=226),3830054.27,3457.07
MHQ SAG (N=226),1522181.92,1456.32
MHQ SAG (N=226),3160208.33,3344.67
MHQ SAG (N=226),4386279.65,4324.68
MHQ SAG (N=226),1937951.02,2030.22
MHQ SAG (N=226),1340869.46,1103.27
MHQ SAG (N=226),2164677.33,2166.55
MHQ SAG (N=226),602559.59,592.05
MHQ SAG (N=226),1369716.53,1248.51
MHQ SAG (N=226),1590054.3,1598.26
MHQ SAG (N=226),1158235.9,1212.06
MHQ SAG (N=226),4098574.11,3940.38
MHQ SAG (N=226),1006916.7,950.7
MHQ SAG (N=226),1016024.06,899.14
MHQ SAG (N=226),3104541.22,2840.58
MHQ SAG (N=226),5506732.27,5245.91
MHQ SAG (N=226),1963169.17,1836.05
MHQ SAG (N=226),1512117.59,1451.96
MHQ SAG (N=226),4029831.14,3597.04
MHQ SAG (N=226),5104220.04,4306.97
MHQ SAG (N=226),1822033.31,1872.61
MHQ SAG (N=226),5183859.17,4887.1
MHQ SAG (N=226),995235.29,1009.13
MHQ SAG (N=226),3344376.64,3022.39
MHQ SAG (N=226),2325102.74,2460.66
MHQ SAG (N=226),2467886.14,2448.0
MHQ SAG (N=226),2830608.04,2680.18
MHQ SAG (N=226),1998483.44,1826.64
MHQ SAG (N=226),3993177.06,3634.61
MHQ SAG (N=226),1171744.7,1192.39
MHQ SAG (N=226),2825522.02,2956.22
MHQ SAG (N=226),2764000.86,2372.63
MHQ SAG (N=226),1651204.63,1560.91
MHQ SAG (N=226),1386079.9,1311.85
MHQ SAG (N=226),3808666.13,3374.44
MHQ SAG (N=226),1882855.96,1887.89
MHQ SAG (N=226),1955445.3,1805.95
MHQ SAG (N=226),2818670.83,2926.2
MHQ SAG (N=226),1302314.9,1278.24
MHQ SAG (N=226),1740417.34,1643.36
MHQ SAG (N=226),3243084.8,3191.04
MHQ SAG (N=226),1534939.6,1620.48
MHQ SAG (N=226),3927932.69,3583.02
MHQ SAG (N=226),2218220.76,2008.76
MHQ SAG (N=226),1669298.1,1548.04
MHQ SAG (N=226),4333501.35,4069.83
MHQ SAG (N=226),4517858.49,4463.13
MHQ SAG (N=226),3909081.05,3726.2
MHQ SAG (N=226),1468658.34,1306.73
MHQ SAG (N=226),2834605.98,2534.68
MHQ SAG (N=226),2121199.75,1943.91
MHQ SAG (N=226),2446520.67,2467.24
MHQ SAG (N=226),1901706.94,1592.68
MHQ SAG (N=226),3046400.3,2899.68
MHQ SAG (N=226),1414508.93,1316.85
MHQ SAG (N=226),1894100.79,1651.18
MHQ SAG (N=226),5169933.52,4906.49
MHQ SAG (N=226),2527411.47,2588.24
MHQ SAG (N=226),1417980.66,1348.0
MHQ SAG (N=226),6176572.27,5890.78
MHQ SAG (N=226),3064935.94,2997.64
MHQ SAG (N=226),2837570.07,2693.35
MHQ SAG (N=226),2122075.59,1832.09
MHQ SAG (N=226),3962792.96,3645.29
MHQ SAG (N=226),1218549.42,1124.84
MHQ SAG (N=226),2786870.18,2851.31
MHQ SAG (N=226),1764445.21,1594.94
MHQ SAG (N=226),3563904.9,3411.97
MHQ SAG (N=226),2481188.23,2550.92
MHQ SAG (N=226),1096801.8,890.47
MHQ SAG (N=226),1694232.26,1602.29
MHQ SAG (N=226),3032069.22,3082.87
MHQ SAG (N=226),3210135.18,2816.47
MHQ SAG (N=226),2417494.79,2123.24
MHQ SAG (N=226),3480406.94,3454.04
MHQ SAG (N=226),1057596.68,1101.1
MHQ SAG (N=226),4129078.66,4059.15
MHQ SAG (N=226),1785322.21,1961.38
MHQ SAG (N=226),1584408.69,1630.27
MHQ SAG (N=226),9387742.07,8330.65
MHQ SAG (N=226),679660.66,611.9
MHQ SAG (N=226),2347590.96,2271.09
MHQ MAG (N=2288),1948852.78,1724.42
MHQ MAG (N=2288),1700300.85,1631.43
MHQ MAG (N=2288),2338288.98,2269.36
MHQ MAG (N=2288),1469536.89,1434.86
MHQ MAG (N=2288),4824219.9,5035.22
MHQ MAG (N=2288),2868712.62,3209.23
MHQ MAG (N=2288),3742048.73,4223.06
MHQ MAG (N=2288),1481445.17,1207.53
MHQ MAG (N=2288),1279863.61,1143.45
MHQ MAG (N=2288),7195590.7,6924.64
MHQ MAG (N=2288),1975823.25,2000.07
MHQ MAG (N=2288),3277071.87,2746.61
MHQ MAG (N=2288),4595207.2,4134.04
MHQ MAG (N=2288),4583730.57,4046.7
MHQ MAG (N=2288),2497335.41,2461.24
MHQ MAG (N=2288),1380304.86,1383.76
MHQ MAG (N=2288),1655276.81,1505.39
MHQ MAG (N=2288),4560246.97,4307.56
MHQ MAG (N=2288),1834189.14,1760.16
MHQ MAG (N=2288),1515435.42,1510.0
MHQ MAG (N=2288),1374688.52,1322.17
MHQ MAG (N=2288),1925698.53,1797.81
MHQ MAG (N=2288),1927466.71,1761.92
MHQ MAG (N=2288),1771317.73,1715.27
MHQ MAG (N=2288),4014530.48,3887.58
MHQ MAG (N=2288),4954449.58,5336.36
MHQ MAG (N=2288),6696126.9,6404.07
MHQ MAG (N=2288),2304036.28,2604.06
MHQ MAG (N=2288),4550497.63,4706.72
MHQ MAG (N=2288),3900690.77,2865.71
MHQ MAG (N=2288),1078919.5,912.13
MHQ MAG (N=2288),1533585.24,1236.99
MHQ MAG (N=2288),3822718.4,3807.5
MHQ MAG (N=2288),3805106.0,3441.12
MHQ MAG (N=2288),2359346.24,2449.79
MHQ MAG (N=2288),5665200.41,6514.51
MHQ MAG (N=2288),5001487.35,4109.23
MHQ MAG (N=2288),5512817.04,5564.82
MHQ MAG (N=2288),2291780.2,2146.5
MHQ MAG (N=2288),2115456.64,1827.89
MHQ MAG (N=2288),2149163.72,2029.14
MHQ MAG (N=2288),2804824.87,2706.91
MHQ MAG (N=2288),1742285.55,1553.48
MHQ MAG (N=2288),3473926.62,3140.77
MHQ MAG (N=2288),6150420.92,5323.48
MHQ MAG (N=2288),2361438.46,2160.72
MHQ MAG (N=2288),4268121.61,4174.63
MHQ MAG (N=2288),2290608.75,2093.17
MHQ MAG (N=2288),973348.5,816.73
MHQ MAG (N=2288),1397801.56,1344.45
MHQ MAG (N=2288),4293603.56,3936.77
MHQ MAG (N=2288),3089525.78,3159.28
MHQ MAG (N=2288),3868963.85,3951.35
MHQ MAG (N=2288),3299471.78,2974.74
MHQ MAG (N=2288),2202348.59,2024.62
MHQ MAG (N=2288),3127190.05,2911.02
MHQ MAG (N=2288),2433420.66,1929.79
MHQ MAG (N=2288),3265903.47,2796.26
MHQ MAG (N=2288),1392401.77,1220.82
MHQ MAG (N=2288),1215039.93,1129.18
MHQ MAG (N=2288),2519502.36,2935.08
MHQ MAG (N=2288),3754404.71,3102.47
MHQ MAG (N=2288),3987178.43,3326.74
MHQ MAG (N=2288),3305370.96,3747.88
MHQ MAG (N=2288),3755456.25,3815.09
MHQ MAG (N=2288),2832929.8,2302.81
MHQ MAG (N=2288),9627496.05,8855.69
MHQ MAG (N=2288),1177274.84,1175.62
MHQ MAG (N=2288),1297926.75,1185.97
MHQ MAG (N=2288),1439810.91,1511.16
MHQ MAG (N=2288),3608617.48,3583.28
MHQ MAG (N=2288),5842442.32,5452.25
MHQ MAG (N=2288),2037612.0,1887.49
MHQ MAG (N=2288),3784211.79,3274.49
MHQ MAG (N=2288),6131581.54,6654.99
MHQ MAG (N=2288),1561321.53,1291.97
MHQ MAG (N=2288),1600052.68,1555.77
MHQ MAG (N=2288),10070142.31,11819.23
MHQ MAG (N=2288),773530.38,803.87
MHQ MAG (N=2288),8299439.89,7426.63
MHQ MAG (N=2288),1358681.44,1143.96
MHQ MAG (N=2288),6828637.18,6089.7
MHQ MAG (N=2288),1572768.3,1607.09
MHQ MAG (N=2288),1411195.54,1409.98
MHQ MAG (N=2288),1996556.67,1839.6
MHQ MAG (N=2288),7776849.28,8767.9
MHQ MAG (N=2288),4923789.63,3817.42
MHQ MAG (N=2288),5814038.81,6331.74
MHQ MAG (N=2288),2233631.93,2453.44
MHQ MAG (N=2288),3430523.67,3756.35
MHQ MAG (N=2288),1610236.74,1468.21
MHQ MAG (N=2288),4921597.13,4852.12
MHQ MAG (N=2288),1786866.05,1791.68
MHQ MAG (N=2288),3153201.11,3122.89
MHQ MAG (N=2288),1652590.2,1488.85
MHQ MAG (N=2288),1627556.94,1494.89
MHQ MAG (N=2288),2294721.62,2356.68
MHQ MAG (N=2288),4283572.39,4196.74
MHQ MAG (N=2288),1232019.16,982.01
MHQ MAG (N=2288),2244112.32,2097.1
MHQ MAG (N=2288),3887462.22,3901.95
MHQ MAG (N=2288),2821580.06,2404.58
MHQ MAG (N=2288),4281960.43,4734.23
MHQ MAG (N=2288),4434533.1,4765.58
MHQ MAG (N=2288),3343669.34,3224.35
MHQ MAG (N=2288),1814269.92,1595.66
MHQ MAG (N=2288),1293794.72,1124.71
MHQ MAG (N=2288),2509531.99,2607.32
MHQ MAG (N=2288),2396089.9,2214.67
MHQ MAG (N=2288),2210071.52,2086.87
MHQ MAG (N=2288),6970766.93,7216.71
MHQ MAG (N=2288),1374060.94,1168.96
MHQ MAG (N=2288),2837361.2,2363.25
MHQ MAG (N=2288),2025652.77,1863.17
MHQ MAG (N=2288),2957429.58,2980.92
MHQ MAG (N=2288),1798642.94,1602.25
MHQ MAG (N=2288),2250942.7,2469.38
MHQ MAG (N=2288),3625654.02,3348.92
MHQ MAG (N=2288),2228539.64,2114.13
MHQ MAG (N=2288),5611717.67,5084.14
MHQ MAG (N=2288),3799613.45,3690.28
MHQ MAG (N=2288),2923723.01,2759.96
MHQ MAG (N=2288),3465077.16,4026.17
MHQ MAG (N=2288),1050947.16,1098.83
MHQ MAG (N=2288),876356.44,987.73
MHQ MAG (N=2288),4913408.16,3993.95
MHQ MAG (N=2288),2641227.38,2997.6
MHQ MAG (N=2288),1791973.98,1813.14
MHQ MAG (N=2288),1336660.42,1241.56
MHQ MAG (N=2288),4672424.59,4960.93
MHQ MAG (N=2288),2568004.88,2215.43
MHQ MAG (N=2288),6256257.1,6970.14
MHQ MAG (N=2288),8259500.48,8639.36
MHQ MAG (N=2288),1975805.76,1769.64
MHQ MAG (N=2288),1377593.36,1352.72
MHQ MAG (N=2288),1809508.63,1795.03
MHQ MAG (N=2288),1286792.18,1220.78
MHQ MAG (N=2288),1477315.41,1277.38
MHQ MAG (N=2288),2114590.79,2095.94
MHQ MAG (N=2288),4680746.07,4026.37
MHQ MAG (N=2288),3464172.25,3802.55
MHQ MAG (N=2288),3436219.21,3527.32
MHQ MAG (N=2288),2432766.38,2628.24
MHQ MAG (N=2288),1745418.15,1652.97
MHQ MAG (N=2288),1428003.93,1383.53
MHQ MAG (N=2288),2723606.21,3300.71
MHQ MAG (N=2288),6565354.55,6912.76
MHQ MAG (N=2288),3649294.13,3806.61
MHQ MAG (N=2288),2724058.25,2469.84
MHQ MAG (N=2288),3566231.52,2703.57
MHQ MAG (N=2288),1912780.01,1898.23
MHQ MAG (N=2288),9570592.2,10286.99
MHQ MAG (N=2288),1064498.21,1160.44
MHQ MAG (N=2288),7304566.23,7522.74
MHQ MAG (N=2288),5337972.23,5955.05
MHQ MAG (N=2288),1506135.4,1512.18
MHQ MAG (N=2288),4281954.21,3722.44
MHQ MAG (N=2288),1981695.01,2022.84
MHQ MAG (N=2288),2007923.01,2467.2
MHQ MAG (N=2288),2889980.47,2675.89
MHQ MAG (N=2288),1152945.89,1087.22
MHQ MAG (N=2288),6357190.49,6761.17
MHQ MAG (N=2288),2871689.77,2477.33
MHQ MAG (N=2288),3713638.24,4084.96
MHQ MAG (N=2288),8387864.73,7343.25
MHQ MAG (N=2288),1400353.5,1361.94
MHQ MAG (N=2288),2359961.84,2452.94
MHQ MAG (N=2288),2261482.75,2199.58
MHQ MAG (N=2288),6790742.66,6338.53
MHQ MAG (N=2288),2761646.44,2578.62
MHQ MAG (N=2288),2198938.74,2043.89
MHQ MAG (N=2288),3584208.31,3222.88
MHQ MAG (N=2288),1767588.0,1840.24
MHQ MAG (N=2288),4394198.99,4570.87
MHQ MAG (N=2288),3135055.24,3198.75
MHQ MAG (N=2288),5984095.84,6195.35
MHQ MAG (N=2288),1690950.61,1616.4
MHQ MAG (N=2288),1637430.27,1482.63
MHQ MAG (N=2288),2558480.75,2487.02
MHQ MAG (N=2288),1219770.24,1120.33
MHQ MAG (N=2288),9284613.39,9490.29
MHQ MAG (N=2288),2288097.9,1869.69
MHQ MAG (N=2288),2979451.35,2393.11
MHQ MAG (N=2288),6325936.59,6766.15
MHQ MAG (N=2288),3168577.85,2714.42
MHQ MAG (N=2288),881307.94,744.67
MHQ MAG (N=2288),6661958.41,6101.7
MHQ MAG (N=2288),1550668.91,1580.57
MHQ MAG (N=2288),2648121.91,2492.84
MHQ MAG (N=2288),1353419.25,1179.31
MHQ MAG (N=2288),2263084.9,1832.1
MHQ MAG (N=2288),1284866.25,1244.55
MHQ MAG (N=2288),4610252.51,3728.36
MHQ MAG (N=2288),8764341.88,9423.94
MHQ MAG (N=2288),3315157.51,3015.35
MHQ MAG (N=2288),2326684.72,2536.43
MHQ MAG (N=2288),1970491.33,1859.08
MHQ MAG (N=2288),2267019.26,2034.98
MHQ MAG (N=2288),6615328.33,6279.0
MHQ MAG (N=2288),8348564.52,8359.65
MHQ MAG (N=2288),3713411.62,3554.12
MHQ MAG (N=2288),2871153.72,2340.86
MHQ MAG (N=2288),2522537.95,2359.34
MHQ MAG (N=2288),2222484.23,1830.4
MHQ MAG (N=2288),2779537.34,2843.55
MHQ MAG (N=2288),2411399.65,2303.25
MHQ MAG (N=2288),1603114.86,1412.86
MHQ MAG (N=2288),9718641.44,8875.72
MHQ MAG (N=2288),4120423.09,3230.3
MHQ MAG (N=2288),2981971.55,2421.16
MHQ MAG (N=2288),2529728.33,2235.98
MHQ MAG (N=2288),6208383.34,6278.32
MHQ MAG (N=2288),5083842.94,5100.33
MHQ MAG (N=2288),2270432.18,1814.74
MHQ MAG (N=2288),3106829.09,2993.36
MHQ MAG (N=2288),1865980.47,1711.28
MHQ MAG (N=2288),4343463.94,4074.33
MHQ MAG (N=2288),1912505.43,1713.77
MHQ MAG (N=2288),2054140.85,1830.63
MHQ MAG (N=2288),10096518.08,10496.49
MHQ MAG (N=2288),2352257.8,2579.98
MHQ MAG (N=2288),2024479.03,1623.46
MHQ MAG (N=2288),2623244.4,2906.66
MHQ MAG (N=2288),4684911.2,4587.03
MHQ MAG (N=2288),5804389.46,5779.23
MHQ MAG (N=2288),2525165.72,1973.28
MHQ MAG (N=2288),4715733.75,4804.55
MHQ MAG (N=2288),2158131.81,1751.94
MHQ MAG (N=2288),1368732.26,1196.31
MHQ MAG (N=2288),2423223.24,2274.26
MHQ MAG (N=2288),1942612.51,2009.68
MHQ MAG (N=2288),2036269.37,1986.19
MHQ MAG (N=2288),5380857.91,4462.18
MHQ MAG (N=2288),5707563.91,5332.38
MHQ MAG (N=2288),3603928.72,3984.67
MHQ MAG (N=2288),3321503.21,2804.2
MHQ MAG (N=2288),2949386.02,3304.8
MHQ MAG (N=2288),1895905.97,1799.78
MHQ MAG (N=2288),14027112.4,11736.56
MHQ MAG (N=2288),1364543.25,1203.56
MHQ MAG (N=2288),2068396.26,1824.76
MHQ MAG (N=2288),3627431.35,3293.41
MHQ MAG (N=2288),2703304.93,3116.7
MHQ MAG (N=2288),1530711.2,1273.28
MHQ MAG (N=2288),2172696.76,2039.73
MHQ MAG (N=2288),1385468.67,1257.49
MHQ MAG (N=2288),2185088.35,2160.83
MHQ MAG (N=2288),927653.75,971.91
MHQ MAG (N=2288),1886307.87,1730.19
MHQ MAG (N=2288),7370739.67,5874.83
MHQ MAG (N=2288),2617157.93,2497.19
MHQ MAG (N=2288),2992308.16,3101.7
MHQ MAG (N=2288),3266955.62,3220.8
MHQ MAG (N=2288),1541211.6,1269.37
MHQ MAG (N=2288),6184184.34,5805.97
MHQ MAG (N=2288),4222239.02,3941.67
MHQ MAG (N=2288),2055326.78,2154.06
MHQ MAG (N=2288),4978409.43,5258.59
MHQ MAG (N=2288),2727419.2,2885.78
MHQ MAG (N=2288),5857090.19,5714.35
MHQ MAG (N=2288),2085925.64,1457.84
MHQ MAG (N=2288),3741031.64,4216.24
MHQ MAG (N=2288),1048000.43,924.48
MHQ MAG (N=2288),5120224.51,5452.54
MHQ MAG (N=2288),1782650.44,1656.83
MHQ MAG (N=2288),3041723.07,3182.05
MHQ MAG (N=2288),3394324.8,3258.12
MHQ MAG (N=2288),849169.5,811.52
MHQ MAG (N=2288),752579.24,703.84
MHQ MAG (N=2288),3545685.21,3963.73
MHQ MAG (N=2288),6776939.75,6002.24
MHQ MAG (N=2288),3579481.01,3539.42
MHQ MAG (N=2288),4847488.69,4477.03
MHQ MAG (N=2288),1639433.83,1488.59
MHQ MAG (N=2288),1872346.24,1565.56
MHQ MAG (N=2288),1764349.89,1776.01
MHQ MAG (N=2288),1992180.71,2170.17
MHQ MAG (N=2288),4079207.13,3715.77
MHQ MAG (N=2288),4009446.55,3470.13
MHQ MAG (N=2288),1973328.48,2042.26
MHQ MAG (N=2288),989236.22,1036.08
MHQ MAG (N=2288),1413216.98,1348.15
MHQ MAG (N=2288),2937457.64,2739.57
MHQ MAG (N=2288),3616450.22,3751.6
MHQ MAG (N=2288),3083863.06,2701.35
MHQ MAG (N=2288),5267238.46,4799.91
MHQ MAG (N=2288),4169952.27,3974.64
MHQ MAG (N=2288),2742998.61,2594.22
MHQ MAG (N=2288),1607664.6,1716.42
MHQ MAG (N=2288),1549734.48,1797.32
MHQ MAG (N=2288),1193251.88,1120.0
MHQ MAG (N=2288),6633735.82,6676.94
MHQ MAG (N=2288),1552294.64,1599.66
MHQ MAG (N=2288),4862995.81,4551.92
MHQ MAG (N=2288),4455301.25,5055.37
MHQ MAG (N=2288),2086908.15,1937.74
MHQ MAG (N=2288),2440376.39,2278.7
MHQ MAG (N=2288),1437026.28,1381.88
MHQ MAG (N=2288),3484177.03,3611.91
MHQ MAG (N=2288),6337292.32,6280.34
MHQ MAG (N=2288),2507707.45,2254.66
MHQ MAG (N=2288),4181755.44,4169.66
MHQ MAG (N=2288),7213119.8,7453.07
MHQ MAG (N=2288),4624503.59,4202.76
MHQ MAG (N=2288),2911576.03,2905.09
MHQ MAG (N=2288),3825850.74,4027.72
MHQ MAG (N=2288),1661539.44,1486.8
MHQ MAG (N=2288),2721511.03,2123.14
MHQ MAG (N=2288),1314754.0,1271.68
MHQ MAG (N=2288),1064256.08,942.13
MHQ MAG (N=2288),1141422.83,952.21
MHQ MAG (N=2288),4873209.91,3963.53
MHQ MAG (N=2288),4252744.57,4559.75
MHQ MAG (N=2288),4101105.76,3559.79
MHQ MAG (N=2288),2178811.08,1789.52
MHQ MAG (N=2288),3803594.27,4072.01
MHQ MAG (N=2288),3870665.51,3390.99
MHQ MAG (N=2288),4510981.7,3622.07
MHQ MAG (N=2288),2275998.44,2692.46
MHQ MAG (N=2288),4482200.71,4742.94
MHQ MAG (N=2288),2024949.59,1911.58
MHQ MAG (N=2288),3955886.48,3970.36
MHQ MAG (N=2288),4573533.18,3821.96
MHQ MAG (N=2288),602559.59,563.92
MHQ MAG (N=2288),2948257.23,2486.87
MHQ MAG (N=2288),2260633.43,2105.45
MHQ MAG (N=2288),713292.33,714.79
MHQ MAG (N=2288),1723328.99,1785.09
MHQ MAG (N=2288),3097128.4,2778.33
MHQ MAG (N=2288),3138475.9,3037.85
MHQ MAG (N=2288),3067291.8,3651.34
MHQ MAG (N=2288),3208566.07,2788.48
MHQ MAG (N=2288),4139272.31,4051.87
MHQ MAG (N=2288),2460264.28,2411.46
MHQ MAG (N=2288),5394982.35,5346.95
MHQ MAG (N=2288),2329045.81,2499.87
MHQ MAG (N=2288),8427549.87,7550.55
MHQ MAG (N=2288),6565785.11,6374.08
MHQ MAG (N=2288),3556143.29,3349.82
MHQ MAG (N=2288),4736152.55,4341.22
MHQ MAG (N=2288),2306293.12,2505.64
MHQ MAG (N=2288),4774740.25,4840.46
MHQ MAG (N=2288),4308890.7,4516.29
MHQ MAG (N=2288),7660120.22,5667.33
MHQ MAG (N=2288),6698822.99,6660.61
MHQ MAG (N=2288),1596723.65,1600.79
MHQ MAG (N=2288),1362339.96,1139.61
MHQ MAG (N=2288),1659266.62,1528.36
MHQ MAG (N=2288),1449118.03,1459.61
MHQ MAG (N=2288),2992345.67,2483.53
MHQ MAG (N=2288),1771109.41,2018.63
MHQ MAG (N=2288),2701811.01,2799.88
MHQ MAG (N=2288),7062627.54,6390.01
MHQ MAG (N=2288),4615739.38,4268.61
MHQ MAG (N=2288),4680376.12,4566.69
MHQ MAG (N=2288),2806345.92,2623.38
MHQ MAG (N=2288),2548791.62,2231.51
MHQ MAG (N=2288),4323628.05,3328.52
MHQ MAG (N=2288),3191810.93,2967.48
MHQ MAG (N=2288),2102107.9,2076.38
MHQ MAG (N=2288),1442542.53,1393.48
MHQ MAG (N=2288),2500698.47,2379.68
MHQ MAG (N=2288),1104862.24,1101.13
MHQ MAG (N=2288),5657195.09,6574.05
MHQ MAG (N=2288),6319506.07,6304.78
MHQ MAG (N=2288),3621104.58,3783.82
MHQ MAG (N=2288),5666383.69,4929.68
